,Category,Location,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date
0,치킨,강남구 역삼동,BBQ-서초점,un**님,오리지날 양념치킨/1,너무 맛있네요 다음날도 먹었습니다.,5,5,5,5,어제
1,치킨,강남구 역삼동,BBQ-서초점,pi**님,황금올리브반반＋코카-콜라 1.25L/1,오랫만에 먹었는데 역시 오리지널이 최고네요. 바삭하고 넘 맛있게 먹었어요.,5,5,5,5,4일 전
2,치킨,강남구 역삼동,BBQ-서초점,ba**님,"황금올리브치킨/1,자메이카 통다리구이/1",초복엔 치킨이죠. 맛있게 잘 먹었습니다.,5,5,5,5,2021년 7월 11일
3,치킨,강남구 역삼동,BBQ-서초점,ye**님,황금올리브닭다리（반반）/1,#식후감 바삭바삭 닭다리 먹기도편하고 쫄깃쫄깃해요~ 후반양반 완벽한조화에요!,5,5,5,5,2021년 7월 7일
4,치킨,강남구 역삼동,BBQ-서초점,tp**님,허니버터갈릭스/1,지점마다 맛이 차이가 나긴 하네요,4,4,4,5,2021년 7월 4일
5,치킨,강남구 역삼동,BBQ-서초점,vn**님,자메이카 통다리구이/1,맛있게 먹었습니다! 다음에도 또 사먹을게요~,5,5,5,,2021년 7월 2일
6,치킨,강남구 역삼동,BBQ-서초점,ez**님,자메이카 통다리구이/1,맛은 있는데 양은 진짜.... 별점 4.5점이 있으면 그걸로 주고싶음,5,5,3,5,2021년 7월 2일
7,치킨,강남구 역삼동,BBQ-서초점,ru**님,"소이갈릭스（윙）/1,BBQ소떡/1",맛있게 잘 먹었습니다. 점심시간이 살짝 넘었는데도 배달이 한시간이상 걸려서 좀 많이 배가 고팠다는...20대 중반의 맵찔이 아들은 순한맛도 맵다고 콧물이...다음엔 더순한맛을 시켜야 할듯요.,4,5,5,5,2021년 7월 2일
8,치킨,강남구 역삼동,BBQ-서초점,ki**님,핫황올 블랙페퍼 닭다리/1,"궁금해서 핫윙만 먹다가 먹어봤는데, 다시 핫윙만 먹을거 같네요.",5,5,5,,2021년 7월 1일
9,치킨,강남구 역삼동,BBQ-서초점,hk**님,황금올리브（반반）/1,바삭바삭하게 잘 튀겨져서 맛있게 먹었어요,5,5,5,,2021년 6월 30일
10,치킨,강남구 역삼동,BBQ-서초점,ki**님,"황금올리브치킨/1,맥주 1,000CC/1",잘먹었어요 배달도빠르고 좋네요,5,5,5,5,2021년 6월 30일
11,치킨,강남구 역삼동,BBQ-서초점,mg**님,자메이카 통다리구이/1,배달도 빨리오고 맛있게 잘먹엇어요!,5,5,5,5,2021년 6월 30일
12,치킨,강남구 역삼동,BBQ-서초점,ja**님,황금올리브치킨순살/1,갓 bbq! 언제나 맛나고 양도 많아서 좋아요,5,5,5,,2021년 6월 29일
13,치킨,강남구 역삼동,BBQ-서초점,ye**님,황금올리브치킨순살/1,처음 주문해먹었는데 황금순살치 고소하니 바삭하니 맛있었어요,4,4,4,4,2021년 6월 29일
14,치킨,강남구 역삼동,BBQ-서초점,fr**님,자메이카 통다리구이/1,저번에 시킬때 콜라 안줘서 원래 안주는건가 했더니 이번엔 주네요 ㅋㅋ 빼먹지 맙시다.,1,2,1,1,2021년 6월 29일
15,치킨,강남구 역삼동,BBQ-서초점,ka**님,황금올리브치킨/1,맛있게 먹었습니다 감사합니당,5,5,5,,2021년 6월 28일
