,Category,Location,Restaurant,UserID,Menu,Review,Date,Total,Taste,Quantity,Delivery
0,치킨,운정1동,노랑통닭-운정1호점,ta**님,"엄청큰 후라이드치킨/1,똥집감자튀김/1(추가 선택(콜라 1.25L로 변경))",다른 지점에 비해 여긴 넘바삭하그 맛잇음요 똥집쵝오,10시간 전,5,5,5,5
1,치킨,운정1동,노랑통닭-운정1호점,hs**님,순살 3종세트（후라이드＋양념＋깐풍）/1,10자 제한 끄적끄적,어제,5,5,5,5
2,치킨,운정1동,노랑통닭-운정1호점,ka**님,"알싸한 마늘치킨/1(사이즈 선택(Size Up),추가 선택(콜라 1.25L로 변경))",맛있네요 마늘치킨 굳,3일 전,5,5,5,5
3,치킨,운정1동,노랑통닭-운정1호점,dd**님,"알싸한 마늘치킨/1(사이즈 선택(Size Up),사이드 메뉴(즉석 치즈 떡볶이,노랑치즈볼（오리지날맛）))",중복때 너무 바쁘셔서 예상시간보다 배달이 많이 늦어졌지만 그래도 맛있게 해주셔서 잘먹어었어요~ 떡볶기는 처음 시키는데 맛있게 매콤하니 잘 먹었네요~,3일 전,5,5,5,5
4,치킨,운정1동,노랑통닭-운정1호점,ms**님,"알싸한 마늘치킨/1(사이즈 선택(Regular),추가 선택(콜라 1.25L로 변경))",배달도빠르고 양도맛고 따뜻하고 바삭하게 잘받았어요~,4일 전,5,5,5,5
5,치킨,운정1동,노랑통닭-운정1호점,ji**님,후라이드반 ＋ 양념반/1(추가 선택(순살로 변경)),맛있게 잘 먹었습니다 항상 맛있네요,4일 전,5,5,5,5
6,치킨,운정1동,노랑통닭-운정1호점,sf**님,알싸한 마늘치킨/1(사이즈 선택(Regular)),튀김옷이 조금 두꺼웠어요,4일 전,4,4,4,4
7,치킨,운정1동,노랑통닭-운정1호점,sh**님,"알싸한 마늘치킨/1(사이즈 선택(Regular),소스 선택(맵싸한 디핑소스))",역시 노랑통닭 알싸~~한 마늘치킨 맛있어요! 리뷰이벤트 적었는데 서비스 안주셨더라구요ㅠㅠ 그래도 맛있으니까!! 치킨 자체가 바삭하니 맛있어서 그냥 먹어도 고소하니 맛있고 소스 찍어먹음 더 맛있고🥰 또 주문해서 먹을게여 다음엔 서비스도 같이 챙겨주세요ㅎㅎ,5일 전,5,5,5,5
8,치킨,운정1동,노랑통닭-운정1호점,db**님,순살 3종세트（후라이드＋양념＋깐풍）/1,언제 먹어도 맛있네요~,6일 전,5,5,5,5
9,치킨,운정1동,노랑통닭-운정1호점,su**님,"엄청큰 후라이드치킨/1,엄청큰 깐풍치킨/1(추가 선택(순살로 변경,콜라 1.25L로 변경))",참시켜봐서 이렇게 구분이 안될정도로 잘게 튀겨져 나오는줄 몰랐어요 깐풍가맛있는데 모자란소스가 살짝 아쉬웠어요 식었다 먹으니 강정같아서 맛있게 먹었어요,6일 전,3,4,4,5
10,치킨,운정1동,노랑통닭-운정1호점,km**님,"맵싸한 고추치킨/1(뼈 or 순살 선택(뼈)),순살 3종세트（후라이드＋양념＋깐풍）/1(추가 선택(콜라 1.25L로 변경))",오랜만에 먹었는데 역쉬 맛있어요,일주일 전,5,5,5,5
11,치킨,운정1동,노랑통닭-운정1호점,hy**님,순살 3종세트（후라이드＋양념＋깐풍）/1,이사오고 처음 시켰는데 너무 맛있어요!!! 다음에도 또 시킬게요!,일주일 전,5,5,5,5
12,치킨,운정1동,노랑통닭-운정1호점,ma**님,"순살 3종세트（후라이드＋양념＋깐풍）/1(추가 선택(콜라 1.25L로 변경),소스 선택(맵싸한 디핑소스))",아이들 입맛대로 세가지맛 골라먹는 재미~~~ 맛있어서 양은 아쉬움~,2021년 7월 22일,4,5,4,5
13,치킨,운정1동,노랑통닭-운정1호점,손님,"알싸한 마늘치킨/1(사이즈 선택(Regular)),순살 3종세트（후라이드＋양념＋깐풍）/1",알쌰한 마늘치킨이랑 순살 3종세트 맛있게 잘 먹었어요^^ 빠른배송도 감사드려요~^^,2021년 7월 22일,5,5,5,5
14,치킨,운정1동,노랑통닭-운정1호점,tj**님,"알싸한 마늘치킨/1(사이즈 선택(Regular)),엄청큰 후라이드치킨/1(추가 선택(순살로 변경))",맛있어요ㅎㅎㅎ빨리 오고 양도 많아서 자주 먹어요,2021년 7월 21일,5,5,5,5
15,치킨,운정1동,노랑통닭-운정1호점,qk**님,"엄청큰 후라이드치킨/1(추가 선택(순살로 변경,콜라 1.25L로 변경))",너무 맛있어요^^.,2021년 7월 20일,5,5,5,5
16,치킨,운정1동,노랑통닭-운정1호점,ks**님,순살 3종세트（후라이드＋양념＋깐풍）/1,맛있어요. 옛날 치킨 맛도 나고 바삭해요 ^^,2021년 7월 19일,5,5,5,5
17,치킨,운정1동,노랑통닭-운정1호점,손님,"엄청큰 후라이드치킨/1(추가 선택(순살로 변경),사이드 메뉴(노랑치즈볼（오리지날맛）))",감사히 잘 먹었어요,2021년 7월 18일,4,4,4,4
18,치킨,운정1동,노랑통닭-운정1호점,pi**님,엄청큰 후라이드치킨/1(사이드 메뉴(파 추가)),맛있어요 잘먹었어요 냠냠,2021년 7월 17일,5,5,5,5
19,치킨,운정1동,노랑통닭-운정1호점,uh**님,순살 3종세트（후라이드＋양념＋깐풍）/1,바삭바삭 담백 깔끔 가성비갑!!,2021년 7월 17일,5,5,5,5
20,치킨,운정1동,노랑통닭-운정1호점,p2**님,"순살 3종세트（후라이드＋양념＋깐풍）/1,노랑치즈볼（오리지날맛）/1",처음 시켜 먹었는데 맛있어요. 후라이드는 바삭바삽하고 양녕과 깐풍은 따뜻하게 와서 좋았어요. 치즈볼도 아이들이 맛있다고 치즈도 꽉차고 좋아했어요.,2021년 7월 16일,5,5,5,5
21,치킨,운정1동,노랑통닭-운정1호점,sy**님,알싸한 마늘치킨/1(사이즈 선택(Size Up)),맛잇어요~~~~~~~~~,2021년 7월 16일,5,5,5,5
