,Category,Location,Restaurant,UserID,Menu,Review,Date,Total,Taste,Quantity,Delivery
0,치킨,운정1동,치킨파티-운정점,99**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),가족과 함께 맛있게 먹었어요. 언제나 신선하고 바삭한 치킨~♡♡,2021년 7월 17일,5,5,5,5
1,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있습니다~~항상 잘먹고있습니다,2021년 7월 17일,5,5,5,5
2,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있네요~~많이파세요~~,2021년 6월 27일,5,5,5,5
3,치킨,운정1동,치킨파티-운정점,mj**님,순살두마리 set3（순살후라이드＋순살땡초＋콜라）/1,다른 배달어플로 시켰을때는 뼈치킨이었어요~땡초 넘맛있어서 배고파서 먹다가 찍었어요~ 와우~~여긴 순살도 국내산이네요^^ 땡초는 어른들 후라이드는 울어린이들 ㅎㅎ 기름도 깨끗해요~ 맛있게 잘먹었어요^^,2021년 5월 28일,5,5,5,5
4,치킨,운정1동,치킨파티-운정점,jh**님,후라이드＋청양마요＋콜라/1,언제나 잘~먹었습니다~~^^,2021년 5월 21일,5,5,4,4
5,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,항상 맛있게 잘먹었고있습니다,2021년 4월 18일,5,5,5,5
6,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,아주 잘먹고 있습니다,2021년 3월 31일,5,5,5,5
7,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있습니다~~~!!!,2021년 3월 25일,5,5,5,5
8,치킨,운정1동,치킨파티-운정점,co**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),후라이드가 더 맛있어요,2021년 3월 7일,4,5,4,5
9,치킨,운정1동,치킨파티-운정점,mg**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),항상 친절하시고 맛도 훌륭해요😀😀,2021년 2월 22일,5,5,5,5
10,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있습니다~~많이파세요~~,2021년 2월 7일,5,5,5,5
11,치킨,운정1동,치킨파티-운정점,ch**님,"순살두마리 set6（순살간장＋순살양념＋콜라）/1(맛 선택(순한맛)),치즈볼（5개）/1",항상 맛있어요. 감사합니다,2021년 1월 23일,5,5,5,5
12,치킨,운정1동,치킨파티-운정점,sw**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,"늘 먹는 곳이에요~ 양도 넉넉하고 주문한지 30분만에 왔어요 10~15분 거리인데^^ 따끈하고 바삭하게 잘 먹었습니다~^^ 치킨가루가 안매워서 울 4,7,9세 아이들이 참 잘먹어요^^",2021년 1월 11일,5,5,5,5
13,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있습니다~~~잘먹고있어요,2021년 1월 8일,5,5,5,5
14,치킨,운정1동,치킨파티-운정점,-0**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),첫주문인데 매우 실망스럽네요 다신 안시킬거같아요 닭고기 상태좀 보세요 얼마나 오래된건지... 돈 아까워죽는줄 알았네요,2021년 1월 1일,1,1,1,2
15,치킨,운정1동,치킨파티-운정점,da**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),맛도 기대에 못 미치지만 배달은 빨리 왔어요 그치만 분명 벨 누르지 말라 달라했는데 두번이나 누르네요 ㅎ 완전 꽝입니다,2020년 12월 31일,1,1,2,4
16,치킨,운정1동,치킨파티-운정점,ri**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,항상 시키는 치킨파티 양많고 따뜻하게 사장님이 잘배달해주세요,2020년 12월 22일,5,5,5,5
17,치킨,운정1동,치킨파티-운정점,ha**님,두마리 set4（양념大＋데리야끼大＋콜라）/1(맛 선택(순한맛)),"너무 바삭하고, 양념도 잘 베어 있어요~! 강력 추천 합니다~^^",2020년 12월 21일,5,5,5,5
18,치킨,운정1동,치킨파티-운정점,on**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),이름에 걸맞는 푸짐한 양과 느끼하지않고 맛있는치킨 잘 받았습니다. 다른것보다 배달 예정시간이 너무 늦어서 취소를 하려했더니에 대행없이 직접 배달하시며 배달시간을 20분이나 줄이신 사장님의 열정에 감탄했습니다 :) 추운날씨에 맛있는음식 잘 먹었습니다~ 번창하세용,2020년 12월 14일,5,5,5,5
19,치킨,운정1동,치킨파티-운정점,na**님,순살두마리 set8（순살후라이드＋순살치즈）/1,맛있습니다 애들이 좋아하네요,2020년 12월 13일,5,5,5,5
20,치킨,운정1동,치킨파티-운정점,ga**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),늘 여기서만 시켜 먹어요. 양도 많고 맛도 좋고 가격도 좋구요. 앞으로도 이 퀄리티 안변하셨으면 좋겠어요,2020년 12월 8일,5,5,5,5
21,치킨,운정1동,치킨파티-운정점,ch**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),맛있는 불금밤입니다. 감사합니다,2020년 12월 4일,5,5,5,5
22,치킨,운정1동,치킨파티-운정점,na**님,순살치즈후라이드/1,맛있네요 애들이 잘먹어요~~~,2020년 12월 4일,5,5,5,5
23,치킨,운정1동,치킨파티-운정점,ch**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),벌써 다섯번째.. 맜있습니다.,2020년 11월 27일,5,5,5,5
24,치킨,운정1동,치킨파티-운정점,ga**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,배달이 밀리셨는지 콜라 큰거로 바꿔주셔서 너무 잘먹었습니다.,2020년 11월 27일,5,5,5,4
25,치킨,운정1동,치킨파티-운정점,ch**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),감사합니다. 맛있어요,2020년 11월 22일,5,5,5,5
26,치킨,운정1동,치킨파티-운정점,ch**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),치킨이 맛있다는것은 진리입니다. 다만 배달이 다른집으로 갔고 집주소 호수를 착각한거라 금방 직접가서 가져왔습니다. 휴~~~~~,2020년 11월 16일,4,5,5,2
27,치킨,운정1동,치킨파티-운정점,le**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,잘받았습니다ㅎ 감사해요~~~^^,2020년 11월 14일,5,5,5,5
28,치킨,운정1동,치킨파티-운정점,ga**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,맛있고 양이 많네요,2020년 11월 6일,5,5,5,4
29,치킨,운정1동,치킨파티-운정점,ca**님,후라이드＋청양마요＋콜라/1(순살 변경 선택(순살로 변경)),너무 좋았어요!!맜있구 양 많구!!,2020년 10월 20일,5,5,5,5
30,치킨,운정1동,치킨파티-운정점,le**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,잘 먹었습니다^^단골이예요.,2020년 10월 6일,5,5,5,5
31,치킨,운정1동,치킨파티-운정점,du**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,배달시간이 예상보다 빨리왔구요 맛도좋지만 양이 많아서 좋았어요,2020년 9월 28일,5,4,5,5
32,치킨,운정1동,치킨파티-운정점,le**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),늘 먹던ㅎ단골 집입니다.,2020년 9월 8일,5,5,5,5
33,치킨,운정1동,치킨파티-운정점,il**님,4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),항상 이용하고있습니다.,2020년 8월 26일,5,5,5,5
34,치킨,운정1동,치킨파티-운정점,il**님,"4계절치킨（후라이드＋양념＋깐풍＋치즈）/1(맛 선택(순한맛)),순살후라이드/1",항상 시켜먹는곳이예요 7살 3살 아이들이 너무 좋아해요~^^,2020년 8월 17일,5,5,5,5
35,치킨,운정1동,치킨파티-운정점,in**님,순살두마리 set2（순살후라이드＋순살양념＋콜라）/1(맛 선택(순한맛)),"빠르게 음식이왔고, 맛있습니다.양은평균이예요~~!! 다음에또먹겠습니다ㅎㅎ",2020년 8월 10일,5,5,5,5
36,치킨,운정1동,치킨파티-운정점,le**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,단골이예용ㅎㅎ 맛도좋고 사장님 항상 친절하셔서 늘 너무 기분좋게 받습니다ㅎ 번창하세요.,2020년 8월 10일,5,5,5,5
37,치킨,운정1동,치킨파티-운정점,le**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),이사와서 3년 가까이 단골입니다ㅎ 항상 웃으시며 친절하신 사장님 정말 친절하십니다. 치킨도 바삭하니 맛있어요!!! 더 번창하세요.^^,2020년 7월 13일,5,5,5,5
38,치킨,운정1동,치킨파티-운정점,bc**님,순살두마리 set2（순살후라이드＋순살양념＋콜라）/1(맛 선택(순한맛)),맛있습니다 맥주만 아니었어도 일인이닭하는건데 아쉽,2020년 7월 10일,5,5,5,5
39,치킨,운정1동,치킨파티-운정점,le**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),말하기 입아프네용ㅎ단골단골입니다ㅎ,2020년 6월 15일,5,5,5,5
40,치킨,운정1동,치킨파티-운정점,le**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,오늘도 맛있게 잘 먹었습니다ㅎ 치킨좋아하는 아이들 때문에 자주 먹어요ㅜ,2020년 6월 10일,5,5,5,5
41,치킨,운정1동,치킨파티-운정점,le**님,두마리 set1（후라이드大＋데리야끼大＋콜라）/1,단골이예요ㅎ사장님 친절하시고 좋아요,2020년 6월 7일,5,5,5,5
42,치킨,운정1동,치킨파티-운정점,kh**님,순살두마리 set7（순살후라이드＋순살깐풍치킨）/1,정말 맛있는 집입니다. 다음에 또 시킬게요.,2020년 5월 24일,5,5,5,5
43,치킨,운정1동,치킨파티-운정점,le**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(순한맛)),항상 친절하신 사장님과 치킨ㅎ 치킨파티 강추합니다.,2020년 5월 24일,5,5,5,5
44,치킨,운정1동,치킨파티-운정점,ke**님,순살두마리 set7（순살후라이드＋순살깐풍치킨）/1,지금 현재 3개정도 먹었는데 두마리 세트로해서 시켰는데 앙이*** 다음부터 여기서 다신 안먹습니다 돈 아깝습니다 이게 2만4천원이라니 ㅋㅋㅋㅋ장사하지마십시오,2020년 5월 24일,1,1,1,1
45,치킨,운정1동,치킨파티-운정점,ca**님,두마리 set2（후라이드大＋양념大＋콜라）/1(맛 선택(매운맛)),처음 시켜먹는 곳이라서 큰 기댜 안했지만 기대 이상으로 맛있네요~ㅋ,2020년 5월 19일,5,5,5,5
