,Category,Location,Restaurant,UserID,Menu,Review,Date,Total,Taste,Quantity,Delivery
0,치킨,운정1동,피자이탈리-운정점,ky**님,"반반 피자L（13인치.음료별도）/1(반 피자선택 1(페퍼로니),반 피자선택 2(고구마피자))","피자도우 색깔이 다른건 홍미때문이라는 문구와 함께 차별화된 피자를 맛있게 먹었습니다. 어린아이들에게는 살짝 매운감이 있지만, 그이후 나이대로는 좋아할 맛인거 같아요^^ 서비스로 주신 스파게티도 맛있게 잘 먹었습니다",5시간 전,5,5,5,5
1,치킨,운정1동,피자이탈리-운정점,pw**님,콤비네이션 L /1,도우가 늘 마음에 듭니다 토핑양이 많은 것도 최고,9시간 전,5,5,5,5
2,치킨,운정1동,피자이탈리-운정점,da**님,페퍼로니 R /1,피자 되게 맛있네요 또 찾게되는 맛,23시간 전,5,5,5,5
3,치킨,운정1동,피자이탈리-운정점,hs**님,페퍼로니 L /1(음료선택(코카콜라 1.25L)),한입먹고 맛있어서 즉시 또 시킴,어제,5,5,5,5
4,치킨,운정1동,피자이탈리-운정점,hs**님,페퍼로니 R /1,페퍼로니 맛있음ㅇㅇ,어제,5,5,5,5
5,치킨,운정1동,피자이탈리-운정점,mo**님,"1＋1 Pizza L（클래식피자L＋클래식피자L）/1(피자선택 1(1.직화스테이크&쉬림프),피자선택 2(2.페퍼로니),음료선택(코카콜라 1.25L))",배달비까지 무료라 남을게 있나 싶어요. 잘먹었습니다. 조금 더 바싹하게 구워주심 굿이겠어요,어제,5,5,5,5
6,치킨,운정1동,피자이탈리-운정점,th**님,페퍼로니 R /1(음료선택(코카콜라 500mL)),맛있습니다 감사합니다,2일 전,5,5,5,5
7,치킨,운정1동,피자이탈리-운정점,ha**님,트리콜로레 R/1(도우 추가선택(치즈크러스트 L)),오랜만에 먹는데 역시 맛있네요 잘먹었습니다,3일 전,5,5,5,5
8,치킨,운정1동,피자이탈리-운정점,de**님,콤비네이션 L /1,베이스 소스가 새콤한 토마토 스타일이 아니라 짭짤 달콤한 맛이어서 새로운 느낌이고 토핑도 많아서 좋았어오,3일 전,5,5,5,5
9,치킨,운정1동,피자이탈리-운정점,zi**님,"반반 피자L（13인치.음료별도）/1(반 피자선택 1(페퍼로니),반 피자선택 2(고구마피자),도우추가선택(치즈크러스트 L)),1주년기념 핫 크리스피/1(치킨 선택(핫 크리스피))",맛잇어요 짱맛있어요 졸맛이에용~!!,3일 전,5,5,5,5
10,치킨,운정1동,피자이탈리-운정점,po**님,페퍼로니 L /1(도우추가선택(치즈크러스트 L)),짭짤하니 맛있네요 단골될 것 같아요,3일 전,5,5,5,5
11,치킨,운정1동,피자이탈리-운정점,me**님,페퍼로니 R /1(음료선택(코카콜라 1.25L)),독특한 맛이 잇어서 자주 시켜먹어요,3일 전,5,5,5,5
12,치킨,운정1동,피자이탈리-운정점,he**님,트리콜로레 L/1(소스 추가선택(피클 2개)),토핑도많고 도우도맛있고 암튼 맛있게 잘 먹었어요^^ 서비스샐러드도 감사합니다 번창하세요~,3일 전,5,5,5,5
13,치킨,운정1동,피자이탈리-운정점,ar**님,"반반 피자R（10인치.음료별도）/1(반 피자선택 1(콤비네이션),반 피자선택 2(페퍼로니),음료선택(코카콜라 500mL))",페파로니 맛있네요!!! 애들은 조금 맵다고 했지만 ^^; 스파게티도 따뜻하게와서 치즈도 쭉쭉 맛있어용 ㅎㅎ 다음에도 재주문 의사 있어요,3일 전,5,5,5,5
14,치킨,운정1동,피자이탈리-운정점,ok**님,"토마토파스타/1(파스타 추가 선택(새우5마리 추가),사이드 추가 선택(치킨텐더（7개）))",부드러운 치킨 탠더에 고소하고 찐한 스파게티 맛있게 잘먹었습니다~,4일 전,5,5,5,5
15,치킨,운정1동,피자이탈리-운정점,fa**님,"페퍼로니 R /1,1주년기념 핫 크리스피/1(치킨 선택(핫 크리스피 순살))",오랜만에 피자가 생각났는데 역시 피자이탈리 페퍼로니는 언제먹어도 맛있네요~b 순살치킨도 맛있어요 ^^,4일 전,5,5,5,
