,index,Restaurant,UserID,Menu,Review,Total,Taste,Quantity,Delivery,Date
0,36,맘스터치-구로시장점,go**님,"싸이버거 세트/1,후라이드통다리/2",아 진짜 토할거 같아요 너무 짜증남 배달 빨리 와서 좋았고 배달비 원 냈는데 그냥 매장 찾아가서 닭다리 환불 하고 싶네요 봉지 열자마자 기름 쩐내 대박이고요 역시나 한시간째 저상태 그대로 먹기도 싫코 냄새 엄청 역해여 기름 쩐내 진짜 지금 들고 가면 하나 값이라도 환불 해준다면 들고 가고 싶네여 배 쿠이요기요 온갖 배달 다 시켰는데 진짜 최악이고여 어떻게 이런걸 돈받고 팝니까 저 상태 그대로 인데 먹기도 싫코 보기도 싫코 기름 도대체 언제껀지 치킨박스 냄새를 삼십번은 맡았는데 맡을때마다 토할거 같네여,1,1,1,5,2021년 6월 17일
1,49,맘스터치-구로시장점,qa**님,싸이버거 세트/2(감자변경(케이준양념감자（R）사이즈업)),무슨 햄버거세트 개 주문하는데 시간분이나걸립니까 감자튀김은 다 눅눅해져서 오고너무 화가납니다,1,3,4,1,2021년 6월 3일
2,86,맘스터치-구로시장점,do**님,후라이드치킨 한마리/1(사이드추가선택(케이준양념감자S)),기름이 오래 된건가요 기름 냄새가 심해 한조각 밖에 못먹었네요,1,1,5,4,2021년 4월 7일
3,41,따로닭-신림2호점,wi**님,후라이드닭 （TOP.테이터펍스）/1(치킨 선택(뼈（국내산 하림 냉장）)),일부러 비 잦아들고서 시 분에 후라이드 한마리 주문했는데 무려 시 분에 몰래 문앞에 놓고가는 치킨집이 있다,1,1,1,1,2021년 7월 17일
4,11,용구비어-신림역점,ms**님,"신메뉴 치즈롤까스（1개）/1,쥐포튀김/1",아직도착안했는데 리뷰쓰라고요 라고 쓰는데도착했네요 일단 배송은 빨라졌네요 요청사항은 비번누르고 벨인데 문자보내고 가셨으니 만족할게요 그런데 요청사항 안들어주는건 기사님 문제입니다 요청사항 주의해주시고 앞전에 문제 있다했는데 기사님한테 주의좀 부탁드려요 사장님,1,1,1,1,2021년 1월 24일
5,20,용구비어-신림역점,dl**님,"맛있는 고기만두튀김（10개）/1,새우튀김（10개）/1,환타/1",배달시간 너무 늦어서 이젠 못먹겠네요,1,1,1,1,2020년 8월 31일
6,0,1962옛날통닭-가산점,ma**님,옛날통닭 두마리＋콜라 1.25L/1,        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하        배달은느리고명이서먹었는대명다설사병났습니다먹을수있는거만팔았으면좀탕수육이딱딱하   ,1,1,1,1,3일 전
7,5,1962옛날통닭-가산점,dd**님,"반반（순살후라이드＋순살양념）/1,카스 병/2",치킨에서숙성된맛이나는건뭐지요숙성된홍어를먹는듯한맛냉장숙성된건가요먹왠만하면이런말안하는데실망입니다저주문하고나서마감하시던데그래서그런건지양그냥개인적으로는그냥그럼배달시간분걸림따로요청하지도않앗고문앞에있다가벨누르자마자문열고음식받양념은너무달고닭다리살은안보이고쿠폰사용해서닭상태가않좋은건지,1,1,1,5,2021년 6월 27일
8,10,1962옛날통닭-가산점,ks**님,옛날통닭 두마리＋콜라 1.25L/1,배달도 늦고 치킨은 다 식어있고 소금도 없고 맛도 쉰내나고 다버렸네요 다신 안시켜요,1,1,1,2,2021년 5월 23일
9,11,1962옛날통닭-가산점,bm**님,순살양념치킨/1,왜 양념이 쓰죠 반도 못먹고 버렸습니다,1,1,3,3,2021년 5월 17일
10,25,1962옛날통닭-가산점,an**님,"옛날통닭 두마리＋콜라 1.25L/1,감자튀김/1",배달은 시간 반 걸려서 오고 감자튀김은 식다 못해 차가웠어요 보시다시피 포장지는 다 찢어지고 치킨은 눅눅했어요 다신 안시켜먹을것 같네요 돈 아까워요,1,2,2,1,2021년 1월 15일
11,33,1962옛날통닭-가산점,se**님,"순살양념치킨/1,사이다500mL/1",맛은 모르겠는데 그냥 식감이 너무별로네요,1,1,1,5,2020년 10월 3일
12,38,1962옛날통닭-가산점,mz**님,"옛날통닭 9900원 한마리/1,감자튀김/1,콜라1.25L/1",냄새도 나고별로에요,1,1,1,1,2020년 8월 12일
13,52,1962옛날통닭-가산점,gh**님,"옛날통닭 두마리 17000원＋콜라500mL/1,양념소스 추가/1",배달하실때 문자만달라고했는데요 문앞에두고가시면되는데 하,1,1,1,1,2020년 6월 8일
14,32,삼겹김치볶음컵밥도시락,is**님,"컵밥（삼겹＋스팸＋날치알）/1,냉김치말이국수/1,즉석국물떡볶이（만두계란포함）/1",양으로 승부를 거신듯 합니다 맛이 정말 아쉽네요 김치말이국수 맛집이라해서 일부러 시켰는데 별로네요,1,2,5,4,2020년 8월 25일
15,42,삼겹김치볶음컵밥도시락,le**님,특고기대박 컵밥（삼겹＋제육＋오리＋떡갈비＋스팸＋비엔나＋참치마요）/2,고기냄새나서 도저히 못먹고 다버리고 돈만버렸습니다,1,1,1,1,2020년 6월 19일
16,55,삼겹김치볶음컵밥도시락,to**님,"특삼겹 컵밥（삼겹마니＋스팸＋비엔나）/1(토핑 추가(피자치즈 추가)),비빔국수/1",저는 살면서 밥이 비리다는걸 처음 느꼈습니다 비려서 한입먹고 바로 버렸네요 생고기를 넣으신건가요 음식에 장난치시는것도 아니고 정말 너무하시네요,1,1,3,3,2020년 1월 24일
17,3,네네치킨-구로1점,ac**님,후라이드/1(음료 업그레이드(사이다1.25L 추가)),리뷰이벤트한다고해놓고리뷰이벤트물품안주고치킨은잡내남여기배달한시간반걸렸네요완전눅눅재주문의사없습니다요청사항에도썻는데다식어서와써요살다살다이따위치킨은처음이네할인해줘서이렇게만든겁니까포장종이는기름에닭이싱싱하지않은것같습니다날개뼈에서냄새도나고다리뼈에선뭐,1,1,1,1,2일 전
18,16,맘스터치-영등포구청역점,ch**님,"싸이버거 세트/1,케이준떡강정R/1",점심시간이어서 주문이 밀리는 건 이해가 가는데요 배달 기사님이 안 잡히면 사전에 연락을 주셔야 하는건 아닌가요 주문을 시 분에 했고 도착 예정 시간은 시 분인데 예정 시간 분이 지났는데도 배달이 안 오고 제가 연락을 드리니까 그제서야 사과하시고 배달 기사님을 보내주신다고 하네요 저희도 점심시간이 시까지인데 언제 먹으라는 건가요 이럴 거면 예상시간은 왜 걸어두셨나요,1,1,1,1,2021년 7월 8일
19,32,맘스터치-영등포구청역점,i-**님,"싸이버거 세트/2(감자변경(케이준양념감자（R）사이즈업)),싸이버거 세트/1",주문 시간 분만에 배달 받았습니다 예상시간 보다 분 넘어서 왔네요 전화해서야 부랴부랴 보내주시는데 전화 안했으면 어쩔뻔,1,4,4,1,2021년 6월 15일
20,65,맘스터치-영등포구청역점,rm**님,"리얼비프버거 세트/1(감자변경(베이컨치즈감자로 변경)),매콤김떡만/1,치즈뿌치텐더（2조각）/1",콜라는 원래 얼음을 안주나요 굉장히 미지근 하네,1,1,1,1,2021년 5월 5일
21,33,BBQ-가산디지털단지점,kt**님,황금올리브（반반）/1,양념다뭍히고 박스에 끈적거려서 찝찝했습니다,1,1,1,1,2021년 7월 2일
22,43,BBQ-가산디지털단지점,76**님,"핫황금올리브 블랙페퍼/1,BBQ소떡/1",이벤트 때문에 배달이 늦는건 그럴수 있다 생각해요 하지만 배달이 늦은것도 늦은거지만 잘못 배달이 와서 식고 눅눅한 치킨을 먹었네요 저 말고 잘못 받아보신분도 당황했을듯 합니다,1,5,3,1,2021년 6월 29일
23,64,BBQ-가산디지털단지점,gt**님,황올한 깐풍순살/1,처음 올린 사진은 한 블로그 분의 사진이고 두번째 사진은 가산점 입니다 보시다시피 양념이 전혀 버무려지지 않았습니다 지금 후라이드 순살을 먹는건지 도무지 모르겠네요 하여튼 이 집 이 메뉴 시키실 분은 꼭 참고하셨으면 좋겠네요,1,1,1,5,2021년 6월 25일
24,104,BBQ-가산디지털단지점,hs**님,황금올리브치킨/1,배달 예상시간보다 분이상 늦었고 한입 먹자마자 식어서 진심 바로 전화해서 다시 가져라가라고 할뻔했습니다 오늘하루 기분 다 잡쳤네요,1,1,1,1,2021년 5월 8일
25,8,치킨클라스-본점,sa**님,"한마리 반반 치킨세트（치킨＋치킨무＋콜라500mL）/1(뼈 or 순살 선택(뼈-크리스피),치킨 선택(후라이드치킨,양념치킨),사이드 추가 선택(콜라 1.25L 로 변경))",별하나도아까운집치킨튀기는것을다시배우셔야할듯비오는날이라배달늦으시는거는이해가되는데양념튀김은캐찹맛이너무많이나고튀김양이믿을수없을정도로작아요배달온거전화못받으니재배달료원달,1,1,4,3,6일 전
26,78,치킨클라스-본점,li**님,"두마리 치킨세트（치킨＋치킨무＋콜라500mL）/1(뼈 or 순살 선택(순살),치킨 선택 1(양념치킨),치킨 선택 2(스윗갈릭치킨),사이드 추가 선택(콜라 1.25L 로 변경))",맛이나 이런걸 다 떠나서 자기들이 시간을 정해두고 장사를 한다면 제시간에는 와야하지 않나싶다 이미 지정시간보다 분은 더 넘었는데 전화하니 분 더 기다리란다 어쩌라는건지 점은 왜 안만든거지,1,1,1,1,2021년 5월 24일
27,3,꿀벌닭강정,al**님,깐풍강정/1(사이즈 선택(큰박스)),리뷰이벤트한다고해놓고리뷰이벤트물품안주고치킨은잡내남여기배달한시간반걸렸네요완전눅눅재주문의사없습니다요청사항에도썻는데다식어서와써요살다살다이따위치킨은처음이네할인해줘서이렇게만든겁니까포장종이는기름에닭이싱싱하지않은것같습니다날개뼈에서냄새도나고다리뼈에선뭐,1,1,2,1,2021년 2월 2일
28,5,꿀벌닭강정,sh**님,"꿀벌강정/1(사이즈 선택(작은박스)),치즈볼 5개/1,사이다 500mL/1,쿨피스 500mL/1",치킨에서숙성된맛이나는건뭐지요숙성된홍어를먹는듯한맛냉장숙성된건가요먹왠만하면이런말안하는데실망입니다저주문하고나서마감하시던데그래서그런건지양그냥개인적으로는그냥그럼배달시간분걸림따로요청하지도않앗고문앞에있다가벨누르자마자문열고음식받양념은너무달고닭다리살은안보이고쿠폰사용해서닭상태가않좋은건지,1,1,4,4,2021년 1월 11일
29,28,꿀벌닭강정,mi**님,"꿀벌강정/1(사이즈 선택(작은박스)),참치마요 주먹밥/1,국물떡볶이 1人/1(맛 선택(순한맛))",분명히 주문할 때 시분까지 배달되실 때만 주문 받아달라고 요청사항에 적어드렸는데 안읽으셨나봐요 기다리다 시 분에 전화하니까 비오니까 늦는다고요 분더 기다린다고요 아니죠 그런 변명을 하실게 아니라 요청사항 보시고 아예 주문을 안받으셔야죠 점심시간 덕분에 다 버렸네요,1,1,1,1,2019년 7월 26일
