Total	Review
5	['오늘도 맛있게 잘 먹었어요감사합니다']
5	['잘먹었습니다 서비스도 감사해요']
5	['명이서 먹어도 배부른 양과 쉬지않고 흡입하게 되는 맛에 감탄을 금치 못했습니다 앞으로 여기만 먹겠습니다']
5	[' 끊을수없네요 디디치킨 떡볶이 너무 맛있고요 잘먹었습니다 번창하세요']
5	['이번엔 새롭게 파닭으로 시켰는데 맛있어요 그리고 떡볶이 떡볶이 맛집인듯 잘 먹었습니다']
5	['간장은 한 조각 먹은 상태에서 찍었어욤 콜라도 서비스로 주시고 개인적으로 간장이 젤 마싰었어요 가성비 좋아요']
5	['디디 꽤 맛나네요 재주문의향까지 있어요']
5	['리뷰 늦었지만 맛있게 잘 먹었습니다']
5	['항상 맛있어요 이번엔 리뷰이벤트 참여 한다고 남겼는데 아무 것도 없었어요  하지만 맛있으니까  쿠폰 이벤트 끝났다고 하셨는데 쿠폰 사용은 가능한가요 많은데 쓰지 못했거든요']
3	['늘 맛있어서 주문하는데 속상하네요 양념후라이드파닭세트 시켰는데 파닭대신 간장으로 오고 저번이랑 이번에 파닭 주문하면 늘 없네요 파가 제발 주문확인 한번만 더해주세요']
5	['디디치킨은 넘 맛있어서 항상 마리 세트로 주문하게 돼요 떡볶이는 첨인데 파채랑 같이 먹으니 더 맛있더라구요 어떻게 튀기시는지 한입에 쏙 바삭바삭 계속 들어가네요 양이 많아서 결국 남겼지만 담날에 먹어도 맛있으니 좋네요 많이 파세요']
5	['바삳 촉촉 일단가격대비 뭐가이렇게 푸짐합니까  떡뽀끼와역시 러제는로제인가 하며 감탄쓰 무엇보다 튀김옷이 굳굳입니다  코카콜라 였다면 더 좋았겠지만 마진도 빠듯할거같은데 욕십이였나옄 죄송합니다 또 주문 힐게영']
5	['야식으로는 치킨과 떡볶이죠 오늘 배달해 주시는 기사님이 너무 고생하셔서 댓글달아요 치킨박스를 싸고있는 봉투를 뜯었는데 까르보나라 소스는 있는데 파닭 소스가 없어서 전화드렸더니 바로 가져다 주셨어요 너무 감사합니다 덕분에 잘 먹습니다']
5	['다른것은 좋은데 간장치킨이 좀 짠맛이 느껴진다']
5	['맛은 괜찮은데 순살인데 왜이렇게 퍽퍽할까요']
5	['항상시켜먹는 곳 맛있어용']
5	['순살시켰는데 재고 소진이라고 친절하게 안내해주시고 응대 해주셨습니다 전체적으로 타브랜드보다 염지가 약하게 되어 부담 없이 먹을 수 있었네요튀김옷은 얇은편입니다 개인적으로 간장치킨이 젤 맛났어요 건강 유의하시고 장사 번창하세요']
5	['이집 치킨도 치킨이지만 떡볶이가 아주 예술이군요']
5	['여기는 특유의 크리스피함때문에 자주 시킵니다']
5	['맛있어요 양념도 맛있네요']
5	['여기 처음먹는데 맛있어요']
5	['너무 맛있네요 야식은 치킨']
5	['시간 기다려서 도착하고 열어보니 처참하네요 맛은 있었어요 하지만 가격에비해 양은 조금 아쉬운거같아요']
5	['양도 많고 맛있어요 간장이 짜지않아서 좋아요']
5	['가격에비해 양도많고 맛도 넘치는거같아요']
5	['리뷰이벤트를 한다고 했지만 치즈볼이 없었네영 아쉬웠지만 그래두 맛있어서 리뷰를 써봅니다 아이들과 맛있게 잘 먹었습니다 오늘은 간장이젤 맛있었어여 후루룩에은 초딩아들이 혼자 다먹었어요 한젓가락 하드니 자기혼자 다먹겠다고 맛있는 저녁이 되었네요 감사합니다']
5	['아이들이 좋이하고 술안주로도 좋아요']
5	['너무 맛있게 먹느랴 사진찍는것도 깜박 오랜만에 후라이드도 너무 맛있게 느껴져서 좋았어요 파닭도 양념치킨도 디디만한곳은 찾기힘들답니다']
5	['치킨의 가지맛이 다 만족스러웠습니다 떡볶이도 맛있게 먹었습니다']
5	['정말맛있었습니다 떡볶이도 엄청 맛있어요']
5	['여러가지 맛을 맛보고 싶어서 시켰는데 생각보다 괜찮았어요 맛이 기대에 못미치는 곳들을 몇군데 봤었던 저로서는 만족스러웠습니다 그리고 리뷰 늦게써서 죄송해요 식후감']
5	['먹느라 정신없어서 사진을 못찍었어요 로제 떡볶이 처음 먹었는데 너무맛있네요 가는 떡이라 식감이 더좋고 떡볶이에 어묵많은거 좋은데 큼직한 어묵도 많고요 치킨 간장치킨도 양념치킨도 너무 맛있어요 저는 원래 후라이드파인데 어제는 간장치킨 다먹고 신랑과 여동생은 양념치킨  사진을 못찍어 너무 아쉽네요 지금 다이어트 중이라 다음 치팅데이때 또 시켜야겠어요 지금 코로나로 힘드실텐데 힘내시고요 또시키러 오겠습니다 사장님 더더 번창하세요']
